titleId,title,source
BCES00458,Heavy Rain: Move Edition,gametdb
BCES00459,Buzz! Quem é o Génio Português?,gametdb
BCES00463,The Shoot,gametdb
BCES00483,EyePet,gametdb
BCES00484,MotorStorm: Apocalypse,gametdb
BCES00494,SingStar Queen,gametdb
BCES00509,Uncharted 2: Among Thieves,gametdb
BCES00510,God of War III,gametdb
BCES00511,Ratchet &amp;amp; Clank: A Crack in Time,gametdb
BCES00516,God of War III,gametdb
BCES00518,SingStar Morangos com Açúcar,gametdb
BCES00519,SingStar Mallorca Party,gametdb
BCES00520,SingStar Studio 100,gametdb
BCES00531,SingStar Polskie Hity,gametdb
BCES00548,Pain,gametdb
BCES00558,MAG,gametdb
BCES00569,Gran Turismo 5,gametdb
BCES00583,SingStar Mecano,gametdb
BCES00591,inFamous,gametdb
BCES00594,Agarest: Generations of War,gametdb
BCES00596,SingStar Motown,gametdb
BCES00598,TV Superstars,gametdb
BCES00607,SingStar Take That,gametdb
BCES00609,inFamous,gametdb
BCES00611,LittleBigPlanet: Game of the Year Edition,gametdb
BCES00614,SingStar Made in Germany,gametdb
BCES00617,SingStar Starter Pack,gametdb
BCES00621,SingStar Starter Pack,gametdb
BCES00622,SingStar Intro,gametdb
BCES00624,SingStar Starter Pack,gametdb
BCES00625,SingStar Starter Pack,gametdb
BCES00634,SingStar The Wiggles,gametdb
BCES00640,SingStar Chartbreaker,gametdb
BCES00642,Ghostbusters: The Video Game,gametdb
BCES00644,Buzz! Quiz World,gametdb
BCES00645,Buzz! Concurso Universal,gametdb
BCES00646,Buzz! Quiz World,gametdb
BCES00647,Buzz! Quiz World,gametdb
BCES00664,WipEout HD Fury,gametdb
BCES00701,ModNation Racers,gametdb
BCES00722,SingStar Vasco,gametdb
BCES00726,Ratchet &amp;amp; Clank: A Crack in Time,gametdb
BCES00727,Uncharted 2: Among Thieves,gametdb
BCES00737,Heavy Rain,gametdb
BCES00747,Start the Party!,gametdb
BCES00748,Ratchet &amp; Clank: A Crack in Time,gametdb
BCES00757,Uncharted 2: Among Thieves,gametdb
BCES00764,ModNation Racers,gametdb
BCES00773,Battlefield: Bad Company 2,gametdb
BCES00784,Buzz! The Ultimate Music Quiz,gametdb
BCES00791,God of War Collection,gametdb
BCES00795,Sports Champions,gametdb
BCES00797,Heavy Rain: Move Edition,gametdb
BCES00799,God of War III,gametdb
BCES00800,God of War Collection,gametdb
BCES00802,Heavy Rain: Move Edition,gametdb
BCES00816,Resident Evil 5: Gold Edition,gametdb
BCES00818,MAG,gametdb
BCES00819,Sorcery,gametdb
BCES00828,Buzz! The Ultimate Music Quiz,gametdb
BCES00829,Buzz! The Ultimate Music Quiz,gametdb
BCES00830,Buzz! The Ultimate Music Quiz,gametdb
BCES00831,Buzz! The Ultimate Music Quiz,gametdb
BCES00835,SingStar Guitar,gametdb
BCES00846,SingStar Chart Hits,gametdb
BCES00847,SingStar SuomiHitit,gametdb
BCES00850,LittleBigPlanet 2,gametdb
